類型,代碼,學校名稱,公/私立,縣市名稱,郵遞區號,地址,電話,網址
社大,14501,市立板橋國中,公立,[01]新北市,220,新北市板橋區中正路437號,(02)29666498#234,http://www.pcjh.ntpc.edu.tw
社大,14503,市立重慶國中,公立,[01]新北市,220,新北市板橋區國慶路221號,(02)29543001,http://www.ccjh.ntpc.edu.tw
社大,14504,市立江翠國中,公立,[01]新北市,220,新北市板橋區松江街63號,(02)22513256,http://www.ctjh.ntpc.edu.tw
社大,14505,市立中山國中,公立,[01]新北市,220,新北市板橋區文化路一段188巷56號,(02)22508250#201,http://www.csjh.ntpc.edu.tw
社大,14506,市立新埔國中,公立,[01]新北市,220,新北市板橋區新海路181號,(02)22572275,http://www.hpjh.ntpc.edu.tw
學校,14507,市立新莊國中,公立,[01]新北市,242,新北市新莊區中正路211號,(02)22766326,http://www.hcjh.ntpc.edu.tw
學校,14508,市立新泰國中,公立,[01]新北市,242,新北市新莊區新泰路359號,(02)29960745,http://www.htjh.ntpc.edu.tw
學校,14509,市立福營國中,公立,[01]新北市,242,新北市新莊區富國路105號,(02)22045556,http://www.fyjh.ntpc.edu.tw
學校,14510,市立頭前國中,公立,[01]新北市,242,新北市新莊區中原路2號,(02)85222862,http://www.tqjh.ntpc.edu.tw/default.asp
遊樂園,14512,市立光榮國中,公立,[01]新北市,241,新北市三重區介壽路26號,(02)29721430,http://www.grjh.ntpc.edu.tw
遊樂園,14513,市立明志國中,公立,[01]新北市,241,新北市三重區中正北路107號,(02)29844132,http://www.mcjh.ntpc.edu.tw
遊樂園,14514,市立碧華國中,公立,[01]新北市,241,新北市三重區自強路五段66號,(02)29851121,http://www.bhjh.ntpc.edu.tw
站台01,14516,市立永和國中,公立,[01]新北市,234,新北市永和區國中路111號,(02)29214209,http://www.jhjhs.ntpc.edu.tw
站台01,14517,市立福和國中,公立,[01]新北市,234,新北市永和區永利路71號,(02)29261836,http://www.fhjh.ntpc.edu.tw
站台02,14518,市立中和國中,公立,[01]新北市,235,新北市中和區興南路二段3巷17號,(02)29422270,http://www.chjhs.ntpc.edu.tw
站台02,14519,市立積穗國中,公立,[01]新北市,235,新北市中和區民安街66號,(02)22234747,http://www.gsjh.ntpc.edu.tw
站台02,14520,市立漳和國中,公立,[01]新北市,235,新北市中和區廣福路39號,(02)22488616,http://www.chjh.ntpc.edu.tw
社大,14521,市立鶯歌國中,公立,[01]新北市,239,新北市鶯歌區尖山埔路108號,(02)26701461,http://www.ykjhs.ntpc.edu.tw
社大,14523,市立柑園國中,公立,[01]新北市,238,新北市樹林區柑園街二段125號,(02)26801958,http://www.gyjh.ntpc.edu.tw
社大,14524,市立土城國中,公立,[01]新北市,236,新北市土城區永寧路18號,(02)22675135#102,http://www.tcjh.ntpc.edu.tw
社大,14525,市立三峽國中,公立,[01]新北市,237,新北市三峽區復興路238號,(02)26711043,http://www.shjhs.ntpc.edu.tw
社大,14527,市立八里國中,公立,[01]新北市,249,新北市八里區荖阡坑路15號,(02)26102016,http://www.pljhs.ntpc.edu.tw
學校,14528,市立泰山國中,公立,[01]新北市,243,新北市泰山區泰林路二段498號,(02)2296-2519,http://www.ttcjh.ntpc.edu.tw
學校,14529,市立五股國中,公立,[01]新北市,248,新北市五股區成泰路二段49巷15號,(02)22915224,http://www.wkjh.ntpc.edu.tw
學校,14530,市立蘆洲國中,公立,[01]新北市,247,新北市蘆洲區中正路265號,(02)22811571,http://www.lcjh.ntpc.edu.tw
學校,14531,市立林口國中,公立,[01]新北市,244,新北市林口區民治路25號,(02)26011014,http://www.lkjh.ntpc.edu.tw
遊樂園,14533,市立汐止國中,公立,[01]新北市,221,新北市汐止區禮門里大同路二段394號,(02)26412065,http://www.hcjhs.ntpc.edu.tw
遊樂園,14534,市立淡水國中,公立,[01]新北市,251,新北市淡水區文化里真理街10號,(02)26218821,http://www.tsjh.ntpc.edu.tw
遊樂園,14536,市立三芝國中,公立,[01]新北市,252,新北市三芝區淡金路一段38號,(02)26362004,http://www.szjh.ntpc.edu.tw
站台01,14537,市立石門國中,公立,[01]新北市,253,新北市石門區中央路1之9號,(02)26381273,http://www.smjh.ntpc.edu.tw
站台01,14539,市立萬里國中,公立,[01]新北市,207,新北市萬里區獅頭路24號,(02)24922053,http://www.wljhs.ntpc.edu.tw
站台02,14540,市立坪林國中,公立,[01]新北市,232,新北市坪林區國中路4號,(02)26656210,http://www.pljh.ntpc.edu.tw
站台02,14541,市立文山國中,公立,[01]新北市,231,新北市新店區文中路38號,(02)29111672,http://www.wsjh.ntpc.edu.tw
站台02,14542,市立五峰國中,公立,[01]新北市,231,新北市新店區中興路一段253號,(02)29112005,http://www.wfjh.ntpc.edu.tw
社大,14544,市立瑞芳國中,公立,[01]新北市,224,新北市瑞芳區三爪子坑路1號,(02)24972145,http://www.rfjh.ntpc.edu.tw
社大,14545,市立欽賢國中,公立,[01]新北市,224,新北市瑞芳區崙頂路3之1號,(02)24972261,http://www.cejh.ntpc.edu.tw
社大,14546,市立貢寮國中,公立,[01]新北市,228,新北市貢寮區嵩陽街42號,(02)24941941,http://www.kljh.ntpc.edu.tw
社大,14549,市立深坑國中,公立,[01]新北市,222,新北市深坑區文化街41號,(02)26621455,http://www.skjh.ntpc.edu.tw
社大,14550,市立平溪國中,公立,[01]新北市,226,新北市平溪區石底街92號,(02)24951010,http://www.phjh.ntpc.edu.tw
學校,14551,市立烏來國中(小),公立,[01]新北市,233,新北市烏來區啦卡路5號,(02)26616482,http://www.wups.ntpc.edu.tw/default_page.asp
學校,14552,市立溪崑國中,公立,[01]新北市,220,新北市板橋區大觀路三段50巷30號,(02)26869727,http://www.ckjhs.ntpc.edu.tw
學校,14554,市立自強國中,公立,[01]新北市,235,新北市中和區莒光路191號,(02)22259469,http://www.zcjh.ntpc.edu.tw
學校,14555,市立中正國中,公立,[01]新北市,236,新北市土城區金城路二段247號,(02)22628456,http://www.ccjhs.ntpc.edu.tw
遊樂園,14558,市立義學國中,公立,[01]新北市,243,新北市泰山區民生路33號,(02)22961168,http://www.yhjh.ntpc.edu.tw
遊樂園,14559,市立中平國中,公立,[01]新北市,242,新北市新莊區中平路385號,(02)29908092,http://www.cpjh.ntpc.edu.tw
遊樂園,14560,市立鳳鳴國中,公立,[01]新北市,239,新北市鶯歌區永和街33號,(02)26780609,http://www.fmjh.ntpc.edu.tw
站台01,14561,市立三和國中,公立,[01]新北市,241,新北市三重區三和路四段216號,(02)22879890,http://www.shjh.ntpc.edu.tw
站台01,14565,市立尖山國中,公立,[01]新北市,239,新北市鶯歌區國中街1號,(02)26781670,http://www.jsjhs.ntpc.edu.tw
站台02,14566,市立正德國中,公立,[01]新北市,251,新北市淡水區北新路109號,(02)26205136,http://www.jdjh.ntpc.edu.tw
站台02,14567,市立安溪國中,公立,[01]新北市,237,新北市三峽區大同路135號,(02)26717851,http://www.asjh.ntpc.edu.tw
站台02,14569,市立育林國中,公立,[01]新北市,238,新北市樹林區復興路395號,(02)26841160,http://www.yljh.ntpc.edu.tw
社大,14570,市立青山國中(小),公立,[01]新北市,221,新北市汐止區莊敬街33號,(02)26917877,http://www.csjhs.ntpc.edu.tw
社大,14571,市立崇林國中,公立,[01]新北市,244,新北市林口區文化一路一段20號,(02)26095829,http://www.ttcjhs.ntpc.edu.tw
社大,14572,市立二重國中,公立,[01]新北市,241,新北市三重區忠孝路三段89號,(02)29800164,http://www.ecjh.ntpc.edu.tw
社大,14573,市立大觀國中,公立,[01]新北市,220,新北市板橋區僑中一街1號,(02)22725015,http://www.tkjhs.ntpc.edu.tw
社大,14574,市立三多國中,公立,[01]新北市,238,新北市樹林區三多路101號,(02)86881501,http://www.sdjh.ntpc.edu.tw
學校,14575,市立忠孝國中,公立,[01]新北市,220,新北市板橋區成都街30號,(02)29631350,http://www.chjs.ntpc.edu.tw
學校,14576,市立鷺江國中,公立,[01]新北市,247,新北市蘆洲區長樂路235號,(02)82862517,http://www.ljjh.ntpc.edu.tw
學校,14577,市立桃子腳國中(小),公立,[01]新北市,238,新北市樹林區學勤路555號,(02)89703225,http://www.tykjh.ntpc.edu.tw
學校,14578,市立豐珠國中(小),公立,[01]新北市,228,新北市貢寮區美豐里雞母嶺街6之6號,(02)24903727,http://www.fjjh.ntpc.edu.tw
遊樂園,14579,市立佳林國中,公立,[01]新北市,244,新北市林口區中山路268號,(02)26028555,http://www.jljh.ntpc.edu.tw/default.asp
遊樂園,14580,市立達觀國中(小),公立,[01]新北市,231,新北市新店區僑信路1號,(02)22159013,http://www.dgejh.ntpc.edu.tw
遊樂園,313501,市立介壽國中,公立,[31]臺北市,105,臺北市松山區介壽里延壽街401號,(02)27674496,http://www.csjh.tp.edu.tw
站台01,313502,市立民生國中,公立,[31]臺北市,105,臺北市松山區新東里新東街30巷1號,(02)27653433,http://www.msjh.tp.edu.tw
站台01,313504,市立中山國中,公立,[31]臺北市,105,臺北市松山區復興北路361巷7號,(02)27126701,http://www.csjhs.tp.edu.tw
站台02,313505,市立敦化國中,公立,[31]臺北市,105,臺北市松山區南京東路三段300號,(02)87717890,http://www.thjh.tp.edu.tw
站台02,323502,市立興雅國中,公立,[32]臺北市,110,臺北市信義區松德路168巷15號,(02)27232771,http://www.syajh.tp.edu.tw
站台02,323503,市立永吉國中,公立,[32]臺北市,110,臺北市信義區四育里8鄰松隆路161號,(02)27649066,http://www.yjjh.tp.edu.tw
社大,323504,市立?公國中,公立,[32]臺北市,110,臺北市信義區福德街221巷15號,(02)27261481,http://www.lkjh.tp.edu.tw
社大,323505,市立信義國中,公立,[32]臺北市,110,臺北市信義區松仁路158巷1號,(02)27236771,http://www.syijh.tp.edu.tw
社大,331502,私立立人國中(小),私立,[33]臺北市,106,臺北市大安區義榮里安和路二段99號,(02)27381188,http://www.ljjhps.tp.edu.tw
社大,333501,市立仁愛國中,公立,[33]臺北市,106,臺北市大安區敦安里仁愛路4段130號,(02)23255823,http://www.jajh.tp.edu.tw
社大,333502,市立大安國中,公立,[33]臺北市,106,臺北市大安區大安路2段63號,(02)27557131,http://www.tajh.tp.edu.tw
學校,333504,市立芳和實驗國中,公立,[33]臺北市,106,臺北市大安區芳和里臥龍街170號,(02)27321961,http://www.fhjhs.tp.edu.tw
